Time,root.CNNP.QF.1#.QF1RCP604MP.numvalue
2019-04-20T07:54:30.000+08:00,4.896
2019-04-20T07:55:53.000+08:00,4.886
2019-04-20T07:57:41.000+08:00,4.883
2019-04-20T07:57:53.000+08:00,4.894
2019-04-20T07:58:12.000+08:00,4.897
2019-04-20T07:58:16.000+08:00,4.887
2019-04-20T08:01:39.000+08:00,4.898
2019-04-20T08:02:31.000+08:00,4.886
2019-04-20T08:03:01.000+08:00,4.896
2019-04-20T08:07:40.000+08:00,4.885
2019-04-20T08:08:30.000+08:00,4.883
2019-04-20T08:09:59.000+08:00,4.895
2019-04-20T08:11:48.000+08:00,4.883
2019-04-20T08:13:12.000+08:00,4.894
2019-04-20T08:14:11.000+08:00,4.897
2019-04-20T08:18:04.000+08:00,4.905
2019-04-20T08:18:31.000+08:00,4.909
2019-04-20T08:18:36.000+08:00,4.899
2019-04-20T08:20:39.000+08:00,4.894
2019-04-20T08:21:47.000+08:00,4.904
2019-04-20T08:29:00.000+08:00,4.894
2019-04-20T08:29:33.000+08:00,4.904
2019-04-20T08:32:08.000+08:00,4.894
2019-04-20T08:43:37.000+08:00,4.905
2019-04-20T08:44:25.000+08:00,4.894
2019-04-20T08:47:19.000+08:00,4.905
2019-04-20T08:50:41.000+08:00,4.895
2019-04-20T09:06:09.000+08:00,4.885
2019-04-20T09:06:17.000+08:00,4.896
2019-04-20T09:14:17.000+08:00,4.886
2019-04-20T09:14:58.000+08:00,4.885
2019-04-20T09:15:38.000+08:00,4.896
2019-04-20T09:15:48.000+08:00,4.896
2019-04-20T09:16:59.000+08:00,4.886
2019-04-20T09:17:58.000+08:00,4.885
2019-04-20T09:18:41.000+08:00,4.896
2019-04-20T09:18:44.000+08:00,4.897
2019-04-20T09:20:06.000+08:00,4.886
2019-04-20T09:20:08.000+08:00,4.885
2019-04-20T09:20:24.000+08:00,4.896
2019-04-20T09:20:28.000+08:00,4.896
2019-04-20T09:49:57.000+08:00,4.884
